DATA,ORDEM,TIPO_DE_AT,APARELHO,MARCA,TECNICO,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO
20-09-2022,1567,FB,Robo,Wap,,,0,0,0,Não
20-09-2022,1568,GON,Lavadora,Panasonic,Alex,Concluído,0,0,21-09-2022,NÃO
20-09-2022,1569,GB,Refrigerador,Panasonic,Robson / Alex,Concluído,0,21-09-2022,23-09-2022,Sim
20-09-2022,1570,GS,Refrigerador,Panasonic,Cvg,Concluído,0,10-10-2022,10-10-2022,Sim
20-09-2022,1571,FON,Lava E Seca,Panasonic,Alex,Concluído,0,21-09-2022,21-09-2022,Sim
20-09-2022,1572,FB,Robo,Wap,Thiago,Concluído,0,28-09-2022,25-10-2022,Sim
20-09-2022,1573,GON,Refrigerador,Midea,Cvg/Alex,GARANTIA NEGADA,0,0,28-09-2022,Não
20-09-2022,1574,FON,Lavadora,Panasonic,Alex,Concluído,0,23-09-2022,23-09-2022,Sim
20-09-2022,1575,GB,Robo,Wap,Thiago,Concluído,26-09-2022,27-09-2022,30-09-2022,Sim
20-09-2022,1576,FON,Refrigerador,Panasonic,Alex,Concluído,0,26-09-2022,26-09-2022,Sim
20-09-2022,1577,GON,Refrigerador,Panasonic,Alex,Concluído,0,23-09-2022,23-09-2022,Sim
20-09-2022,1578,GON,Lava E Seca,Midea,Luan/Cvg,Concluído,10-06-2022,15-10-2022,15-10-2022,Sim
21-09-2022,1579,GON,Refrigerador,Panasonic,,CANCELADO,0,0,27-09-2022,Não
21-09-2022,1580,GON,Lavadora,Panasonic,Claudio / Alex,Concluído,0,28-09-2022,28-09-2022,Sim
21-09-2022,1581,FB,Microondas,Midea,Luan,Concluído,0,22-09-2022,22-09-2022,Sim
21-09-2022,1582,GB,Robo,Wap,Thiago,Concluído,26-09-2022,28-09-2022,30-09-2022,Sim
21-09-2022,1583,GB,Robo,Midea,Luiz,Concluído,0,26-09-2022,29-09-2022,Não
22-09-2022,1584,GB,Robo,Midea,Patrick,Troca,0,0,14-11-2022,NÃO
22-09-2022,1585,GB,Robo,Wap,Thiago,SEM CONSERTO,0,0,26-09-2022,NÃO
22-09-2022,1586,GON,Congelador Horizontal,Midea,Cvg,Concluído,0,15-10-2022,15-10-2022,Sim
22-09-2022,1587,GON,Refrigerador,Panasonic,Alex / Osiel,Concluído,0,24-01-2023,24-01-2023,Sim
22-09-2022,1588,FON,Refrigerador,Panasonic,,,0,0,0,Não
22-09-2022,1589,FON,Lavadora,Panasonic,,,0,0,0,Não
