DATA,TIPO DE AT.,APARELHO,MARCA,TECNICO,STATUS,PEÇA RECEBIDA,PRONTO,SAÍDA,CONSERTADO?
02-02-2023,GB,Robo,Wap,Thiago,Concluído,0,13-02-2023,27-02-2023,Sim
02-02-2023,FB,Adega,Midea,Claudio/Robson,Laudo Técnico,0,09-02-2023,09-02-2023,Não
02-02-2023,GON,Refrigerador,Panasonic,Osiel,Concluído,01-03-2023,03-03-2023,03-03-2023,Sim
02-02-2023,FB,Robo,Mideea,Mateus,Descarte,0,0,22-06-2023,Não
02-02-2023,FB,Robo,Midea,Robson,Sem Conserto,0,0,28-08-2023,Não
0,FON,Lavadora,Midea,0,0,0,0,0,0
03-02-2023,GB,Refrigerador,Panasonic,Osiel / Brenno,Concluído,17-03-2023,08-03-2023,08-03-2023,Sim
03-02-2023,GB,Microondas,Midea,Robson,Concluído,23-02-2023,01-03-2023,03-03-2023,Sim
03-02-2023,GON,Lavadora,Panasonic,Osiel,Concluído,14-02-2023,22-02-2023,22-02-2023,Sim
03-02-2023,FON,Lavadora,Midea,0,0,0,0,0,0
03-02-2023,GON,Lavadora,Panasonic,Osiel,Concluído,0,09-02-2023,09-02-2023,Sim
03-02-2023,FON,Lava E Seca,Midea,Osiel,Concluído,0,10-02-2023,10-02-2023,Sim
03-02-2023,GB,Micro-Ondas,Panasonic,Robson,Concluído,22-02-2023,23-02-2023,24-02-2023,Sim
03-02-2023,FON,Lavadora,Panasonic,Osiel,Concluído,0,08-02-2023,08-02-2023,Sim
03-02-2023,GON,Lava E Seca,Midea,0,0,0,0,0,0
06-02-2023,GB,Robo,Midea,Mateus,Concluído,0,13-02-2023,20-02-2023,Sim
06-02-2023,FON,Refrigerador,Panasonic,Osiel,Concluído,0,06-02-2023,06-02-2023,Sim
06-02-2023,FON,Lava E Seca,Midea,Osiel,Concluído,0,21-02-2023,21-02-2023,Sim
06-02-2023,GET,Robo,Midea,0,0,0,0,0,0
06-02-2023,GB,Robo,Wap,Thiago,0,0,0,04-05-2023,Não
06-02-2023,GB,Robo,Midea,Thiago,Concluído,23-02-2023,24-02-2023,09-03-2023,Sim
06-02-2023,GB,Robo,Wap,Thiago,Concluído,10-02-2023,13-02-2023,24-02-2023,Sim
06-02-2023,FB,Robo,Wap,Thiago,Concluído,0,16-03-2023,24-08-2023,Sim
