DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO,TECNICO
18-01-2018,BALCÃO,Fritadeira,Midea,Concluído,0,22-02-2018,22-02-2018,Sim,
18-01-2018,BALCÃO,Duo,Positivo,0,0,23-01-2018,23-01-2018,Sim,
18-01-2018,BALCÃO,Celular,Positivo,Concluído,0,02-01-2018,02-01-2018,Sim,
18-01-2018,BALCÃO,Digtv,Positivo,0,0,01-11-2018,19-01-2018,Sim,
19-01-2018,BALCÃO,Digtv,Positivo,0,0,19-01-2018,20-01-2018,Sim,
19-01-2018,BALCÃO,Digtv,Positivo,0,0,23-01-2018,25-01-2018,Sim,
19-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,31-01-2018,Não,
19-01-2018,BALCÃO,Digtv,Positivo,0,0,26-01-2018,30-01-2018,Sim,
20-01-2018,BALCÃO,Digtv,Positivo,0,0,23-01-2018,25-01-2018,Sim,
20-01-2018,BALCÃO,Ntb,Vaio,0,0,23-01-2018,24-01-2018,Sim,
20-01-2018,BALCÃO,Ntb,Hp,0,0,24-01-2018,27-01-2018,Sim,
20-01-2018,BALCÃO,Ntb,Sony,S/ Defeito,0,0,25-01-2018,Não,
20-01-2018,BALCÃO,Digtv,Positivo,0,0,23-01-2018,25-01-2018,Sim,
22-01-2018,BALCÃO,Ntb,Asus,S/ Conserto,0,0,29-01-2018,Não,
22-01-2018,BALCÃO,Digtv,Positivo,0,0,23-01-2018,25-01-2018,Sim,
22-01-2018,BALCÃO,Ntb,Asus,0,0,23-01-2018,27-01-2018,Sim,
22-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,02-01-2018,Não,
22-01-2018,BALCÃO,Ntb,Lenovo,0,0,25-01-2018,26-01-2018,Sim,
22-01-2018,BALCÃO,Cafeteira,Britania,Concluído,0,03-05-2018,03-10-2018,Sim,
22-01-2018,BALCÃO,Tablet,Positivo,0,0,30-01-2018,02-03-2018,Sim,
22-01-2018,BALCÃO,Ntb,Vaio,Concluído,0,02-05-2018,02-10-2018,Sim,
0,BALCÃO,0,0,0,0,0,0,0,
0,BALCÃO,0,0,0,0,0,0,0,
0,BALCÃO,0,0,0,0,0,0,0,
0,BALCÃO,0,0,0,0,0,0,0,
23-01-2018,BALCÃO,Ntb,Positivo,Concluído,0,02-12-2018,17-02-2018,Sim,
23-01-2018,BALCÃO,Micro Ondas,Midea,Concluído,0,15-02-2018,16-02-2018,Sim,
23-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,02-02-2018,Não,
25-01-2018,BALCÃO,Micro Ondas,Midea,Concluído,0,15-02-2018,21-02-2018,Sim,
24-01-2018,BALCÃO,Allinone,Itautec,Sem Conserto,0,0,03-03-2018,Não,
24-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,24-02-2018,Não,
24-01-2018,BALCÃO,Digtv,Positivo,Concluído,0,31-01-2018,02-05-2018,Sim,
25-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,02-09-2018,Não,
25-01-2018,BALCÃO,Micro Ondas,Midea,0,0,0,0,0,
25-01-2018,BALCÃO,Ntb,Hp,Sem Conserto,0,0,02-01-2018,Não,
25-01-2018,BALCÃO,Ntb,Hp,0,0,0,0,0,
25-01-2018,BALCÃO,Micro Ondas,Midea,Consertado,0,14-02-2018,19-02-2018,Sim,
25-01-2018,BALCÃO,Digtv,Positivo,Concluído,0,02-08-2018,02-08-2018,Sim,
25-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,19-02-2018,Não,
25-01-2018,BALCÃO,Allinone,Sti,Sem Conserto,0,0,26-03-2019,Não,
25-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,02-09-2018,Não,
26-01-2018,BALCÃO,Ntb,Hp,0,0,0,0,0,
26-01-2018,BALCÃO,Digtv,Positivo,Concluído,0,31-01-2018,02-02-2018,Sim,
26-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,02-09-2018,Não,
26-01-2018,BALCÃO,Digtv,Positivo,Concluído,0,02-08-2018,02-08-2018,Sim,
26-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,02-08-2018,Não,
26-01-2018,BALCÃO,Ntb,Sti,Concluído,0,14-02-2018,16-02-2018,Sim,
26-01-2018,BALCÃO,Purificador,Midea,Concluído,0,02-07-2018,02-07-2018,Sim,
26-01-2018,BALCÃO,Allinone,Positivo,Concluído,0,02-03-2018,02-05-2018,Sim,
29-01-2018,BALCÃO,Digtv,Positivo,Concluído,0,02-08-2018,02-08-2018,Sim,
29-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,02-09-2018,Não,
29-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,02-08-2018,Não,
29-01-2018,BALCÃO,Ntb,Hp,Concluído,0,02-06-2018,19-02-2018,Sim,
30-01-2018,BALCÃO,Ntb,Dell,Concluído,0,31-01-2018,31-01-2018,Sim,
30-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,02-09-2018,Não,
30-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,20-02-2018,Não,
30-01-2018,BALCÃO,Tablet,Sti,Descarte,0,0,05-09-2018,Não,
30-01-2018,BALCÃO,Estabilizador,Positivo,Concluído,0,30-01-2018,30-01-2018,Sim,
30-01-2018,BALCÃO,Digtv,Positivo,Concluído,0,02-05-2018,02-06-2018,Sim,
30-01-2018,BALCÃO,Ntb,Dell,Concluído,0,02-06-2018,02-09-2018,Sim,
30-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,02-09-2018,Não,
30-01-2018,BALCÃO,Celular,Positivo,Concluído,0,02-06-2018,02-08-2018,Sim,
30-01-2018,BALCÃO,Ntb,Asus,Sem Conserto,0,0,02-08-2018,Não,
30-01-2018,ETICKET,Micro Ondas,Midea,Concluído,0,31-01-2018,02-01-2018,Sim,
30-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,02-09-2018,Não,
30-01-2018,ETICKET,Micro Ondas,Midea,Consertado,0,19-02-2018,19-02-2018,Sim,
30-01-2018,BALCÃO,Micro Ondas,Midea,Consertado,0,14-02-2018,21-02-2018,Sim,
31-01-2018,BALCÃO,Ntb,Samsung,Concluído,0,02-06-2018,02-07-2018,Sim,
31-01-2018,BALCÃO,Digtv,Positivo,Concluído,0,02-05-2018,02-06-2018,Sim,
31-01-2018,BALCÃO,Digtv,Positivo,Concluído,0,02-08-2018,02-08-2018,Sim,
31-01-2018,BALCÃO,Notebook,Toshiba,Concluído,0,03-12-2018,29-03-2018,Sim,
31-01-2018,BALCÃO,Notebook,Amazon,Concluído,0,03-12-2018,04-02-2018,Sim,
31-01-2018,BALCÃO,Digtv,Positivo,Concluído,0,02-05-2018,02-07-2018,Sim,
31-01-2018,BALCÃO,Ar Condicionado,Springer,Concluído,0,02-12-2018,24-02-2018,Sim,
31-01-2018,BALCÃO,Micro Ondas,Midea,Consertado,0,19-02-2018,20-02-2018,Sim,
31-01-2018,BALCÃO,Digtv,Positivo,Concluído,0,02-05-2018,02-05-2018,Sim,
02-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,17-02-2018,Não,
02-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,16-02-2018,Não,
02-01-2018,BALCÃO,Digtv,Positivo,Troca,0,15-02-2018,15-02-2018,Não,
02-01-2018,ETICKET,Purificador,Midea,Concluído,0,02-10-2018,15-02-2018,Sim,
02-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,19-02-2018,Não,
02-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,14-03-2018,Sim,
02-01-2018,BALCÃO,Tablet,Toshiba,Sem Conserto,0,0,06-05-2018,Não,
02-02-2018,BALCÃO,Allinone,Hp,Concluído,0,02-09-2018,15-02-2018,S,
02-02-2018,BALCÃO,Digtv,Positivo,Troca,0,0,15-02-2018,Não,
02-02-2018,BALCÃO,Digtv,Positivo,Troca,0,0,19-02-2018,Sim,
02-02-2018,BALCÃO,Digtv,Positivo,Troca,0,0,16-02-2018,Não,
02-02-2018,BALCÃO,Celular,Positivo,Concluído,0,14-02-2018,14-02-2018,Sim,
02-02-2018,BALCÃO,Ntb,Vaio,Concluído,0,19-02-2018,19-02-2018,Sim,
02-03-2018,BALCÃO,Ntb,Dell,Concluído,0,02-09-2018,02-09-2018,Sim,
02-03-2018,BALCÃO,Desk,Montado,Sem Conserto,0,0,15-02-2018,Não,
02-03-2018,BALCÃO,Digtv,Positivo,Consertado,0,02-08-2018,17-02-2018,Sim,
02-05-2018,BALCÃO,Aspirador,Tramontina,Concluído,0,03-12-2018,13-03-2018,Sim,
02-05-2018,BALCÃO,Ntb,Positivo,Concluído,0,02-12-2018,20-02-2018,Sim,
02-05-2018,BALCÃO,Digtv,Positivo,Concluído,0,02-08-2018,02-09-2018,Sim,
02-05-2018,BALCÃO,Ntb,Hp,Sem Conserto,0,0,02-10-2018,Não,
02-05-2018,BALCÃO,Digtv,Positivo,Troca,0,17-02-2018,28-03-2018,Não,
02-05-2018,BALCÃO,Ntb,Acer,Sem Conserto,0,0,13-03-2018,Não,
02-05-2018,BALCÃO,Ntb,Lenovo,Sem Conserto,0,0,25-04-2018,Não,
02-05-2018,BALCÃO,Hd,Toshiba,Concluído,0,03-07-2018,03-07-2018,Sim,
02-05-2018,BALCÃO,Digtv,Positivo,Concluído,0,02-08-2018,02-09-2018,Sim,
02-05-2018,BALCÃO,Ntb,Dell,Concluuido,0,04-04-2018,04-05-2018,Sim,
02-06-2018,BALCÃO,Digtv,Positivo,Troca,0,0,21-02-2018,Não,
02-06-2018,BALCÃO,Micro Ondas,Midea,Concluído,0,02-06-2018,02-07-2018,Sim,
02-06-2018,BALCÃO,Ntb,Toshiba,0,0,0,0,0,
02-06-2018,BALCÃO,Digtv,Positivo,Troca,0,0,19-02-2018,Não,
02-06-2018,BALCÃO,Digtv,Positivo,Concluído,0,02-08-2018,02-09-2018,Sim,
02-06-2018,ETICKET,Aspirador Robo,Midea,0,0,0,0,0,
02-06-2018,BALCÃO,Digtv,Positivo,Troca,0,0,22-02-2018,Sim,
02-06-2018,BALCÃO,Purificador,Midea,Concluído,0,25-04-2018,27-04-2018,Sim,
02-07-2018,BALCÃO,Climatizador,Midea,Consertado,0,14-02-2018,21-02-2018,Sim,
02-06-2018,BALCÃO,Ntb,Itautec,Sem Conserto,0,0,26-02-2018,Não,
