DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PEÇA RECEBIDA,PRONTO,SAÍDA,CONSERTADO?
30-01-2020,ON SITE,Lava E Seca,Midea,Concluído,0,02-05-2020,02-05-2020,Sim
31-01-2020,ON SITE,Ar Janela,Midea,Concluído,0,02-11-2020,17-02-2020,Sim
31-01-2020,ON SITE,Ar Condicionado,Elgin,0,0,0,0,0
31-01-2020,ON SITE,Lava E Seca,Midea,Concluído,0,02-10-2020,02-10-2020,Sim
31-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,02-12-2020,02-12-2020,Sim
31-01-2020,ETICKET,Aspirador,Midea,Concluído,0,02-12-2020,19-02-2020,Sim
31-01-2020,ETICKET,Microondas,Midea,Concluído,0,02-03-2020,02-05-2020,Sim
02-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,18-02-2020,18-02-2020,Sim
02-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,02-05-2020,02-05-2020,Sim
02-03-2020,ON SITE,Cooktop,Midea,Concluído,0,02-04-2020,02-04-2020,Sim
02-03-2020,ON SITE,Lava E Seca,Midea,Concluído,0,02-04-2020,02-04-2020,Sim
02-03-2020,ON SITE,Lava Louças,Panasonic,Concluído,0,02-06-2020,02-06-2020,Sim
02-03-2020,ETICKET,Robo,Wap,Concluído,0,02-05-2020,02-06-2020,Sim
02-03-2020,ETICKET,Panela,Midea,Concluído,0,02-11-2020,18-02-2020,Sim
02-03-2020,ETICKET,Microondas,Midea,Concluida,0,02-04-2020,02-05-2020,Sim
02-03-2020,ETICKET,Robo,Midea,Concluído,0,02-07-2020,02-11-2020,Sim
02-03-2020,ETICKET,Aspirador,Midea,Concluído,29-02-2020,17-02-2020,03-04-2020,Sim
02-03-2020,ETICKET,Microondas,Midea,Concluído,0,02-04-2020,02-05-2020,Sim
02-03-2020,ON SITE,Refrigerador,Panasonic,Cancelado,0,0,02-04-2020,Não
02-03-2020,ON SITE,Refrigerador,Panasonic,Cancelado,0,0,02-04-2020,Não
02-03-2020,ON SITE,Lavadora,Panasonic,Concluído,0,18-02-2020,18-02-2020,Sim
02-03-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,02-05-2020,02-05-2020,Sim
02-04-2020,BALCÃO,Microondas,Midea,Concluído,0,02-04-2020,18-02-2020,Sim
02-04-2020,BALCÃO,Microondas,Midea,Concluído,0,02-05-2020,02-06-2020,Sim
02-04-2020,ON SITE,Ar Condicionado,Carrier,0,0,0,0,0
02-04-2020,BALCÃO,Refrigerador,Panasonic,Concluído,14-02-2020,17-02-2020,03-03-2020,Sim
