DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO,TECNICO,TEMPO_CONSERTO,MES_ANO
20/06/2020,ETICKET,Microondas,Midea,Concluído,2020-07-21,2020-07-23,08/06/2020,sim,0,2,2020-07
22/06/2020,ETICKET,Robo,Wap,Concluído,2020-09-23,2020-09-23,29/09/2020,sim,0,0,2020-09
22/06/2020,ETICKET,Microondas,Midea,Concluído,2020-07-21,2020-07-23,31/07/2020,sim,0,2,2020-07
24/06/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-07-14,2020-07-16,16/07/2020,sim,0,2,2020-07
24/06/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-07-14,2020-07-16,16/07/2020,sim,0,2,2020-07
25/06/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-08-07,2020-09-07,07/09/2020,sim,0,31,2020-08
27/06/2020,ETICKET,Aspirador,Midea,Concluído,2020-01-07,2020-10-07,22/07/2020,sim,0,274,2020-01
07/01/2020,BALCAO,Microondas,Panasonic,Concluído,2020-07-22,2020-07-23,08/07/2020,sim,0,1,2020-07
07/02/2020,ON SITE,Frigobar,Midea,Concluído,2020-07-27,2020-07-28,28/07/2020,sim,0,1,2020-07
07/02/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-04-08,2020-07-16,20/07/2020,sim,0,99,2020-04
07/03/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-07-22,2020-07-28,28/07/2020,sim,0,6,2020-07
07/08/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-07-22,2020-07-27,27/07/2020,sim,0,5,2020-07
07/09/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-01-10,2020-10-07,07/10/2020,sim,0,271,2020-01
13/07/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-08-14,2020-08-17,17/08/2020,sim,0,3,2020-08
14/07/2020,BALCÃO,Lavadora,Panasonic,Concluído,2020-07-29,2020-07-29,08/07/2020,sim,0,0,2020-07
17/07/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-08-21,2020-08-22,09/11/2020,sim,0,1,2020-08
17/07/2020,ETICKET,Robo,Wap,Concluído,2020-09-23,2020-09-23,29/09/2020,sim,0,0,2020-09
20/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
20/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
20/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
20/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-03-09,2020-08-28,09/04/2020,sim,0,172,2020-03
20/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
20/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
21/07/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-04-08,2020-11-08,08/11/2020,sim,0,214,2020-04
21/07/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-04-08,2020-07-22,22/07/2020,sim,0,105,2020-04
23/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,28/08/2020,sim,0,1,2020-08
23/07/2020,ETICKET,Microondas,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
23/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,28/08/2020,sim,0,1,2020-08
23/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,28/08/2020,sim,0,1,2020-08
23/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,28/08/2020,sim,0,1,2020-08
24/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-17,2020-08-20,28/08/2020,sim,0,3,2020-08
24/07/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-04-08,2020-04-08,13/08/2020,sim,0,0,2020-04
24/07/2020,ETICKET,Microondas,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
25/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,28/08/2020,sim,0,1,2020-08
25/07/2020,ETICKET,Microondas,Midea,Concluído,2020-08-17,2020-08-20,09/03/2020,sim,0,3,2020-08
25/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-17,2020-08-20,28/08/2020,sim,0,3,2020-08
27/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
27/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
27/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
27/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-19,26/08/2020,sim,0,0,2020-08
27/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-19,26/08/2020,sim,0,0,2020-08
27/07/2020,ETICKET,Aspirador,Mida,Concluído,2020-08-19,2020-08-19,26/08/2020,sim,0,0,2020-08
27/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
27/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
29/07/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-08-21,2020-09-15,15/09/2020,sim,0,25,2020-08
30/07/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-01-10,2020-07-31,31/07/2020,sim,0,203,2020-01
31/07/2020,ON SITE,Ar Condicionado,Midea,Concluído,2020-08-19,2020-08-19,19/08/2020,sim,0,0,2020-08
08/01/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,28/08/2020,sim,0,1,2020-08
08/01/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
08/01/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-20,2020-08-24,09/04/2020,sim,0,4,2020-08
08/01/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-26,2020-08-26,09/04/2020,sim,0,0,2020-08
08/01/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-24,2020-08-24,09/04/2020,sim,0,0,2020-08
08/01/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
08/01/2020,ETICKET,Microondas,Midea,Concluído,2020-09-09,2020-09-09,10/08/2020,sim,0,0,2020-09
08/01/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-24,2020-08-24,09/04/2020,sim,0,0,2020-08
08/01/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-24,2020-08-24,09/04/2020,sim,0,0,2020-08
08/01/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-19,2020-08-20,26/08/2020,sim,0,1,2020-08
08/01/2020,ETICKET,Aspirador,Midea,Concluído,2020-08-24,2020-08-24,09/04/2020,sim,0,0,2020-08
08/01/2020,ETICKET,Aspirador,Midea,Concluído,2020-03-09,2020-08-24,09/04/2020,sim,0,168,2020-03
08/07/2020,ETICKET,Microondas,Midea,Concluído,2020-09-09,2020-09-17,23/09/2020,sim,0,8,2020-09
08/07/2020,ETICKET,Microondas,Midea,Concluído,2020-08-17,2020-08-20,09/03/2020,sim,0,3,2020-08
08/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-03-09,2020-08-27,09/04/2020,sim,0,171,2020-03
08/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-03-09,2020-08-26,09/04/2020,sim,0,170,2020-03
08/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-03-09,2020-08-27,09/04/2020,sim,0,171,2020-03
08/07/2020,ETICKET,Aspirador,Midea,Concluído,2020-03-09,2020-08-27,09/04/2020,sim,0,171,2020-03
08/07/2020,ETICKET,Robo,Wap,Concluído,2020-09-23,2020-09-23,29/09/2020,sim,0,0,2020-09
08/08/2020,ETICKET,Robo,Wap,Concluído,2020-12-09,2020-12-09,17/09/2020,sim,0,0,2020-12
08/08/2020,ETICKET,Robo,Wap,Concluído,2020-12-09,2020-12-09,18/09/2020,sim,0,0,2020-12
08/10/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-08-19,2020-08-24,24/08/2020,sim,0,5,2020-08
08/10/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-08-19,2020-08-19,19/08/2020,sim,0,0,2020-08
08/11/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-08-26,2020-08-27,27/08/2020,sim,0,1,2020-08
08/11/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-08-20,2020-11-08,08/11/2020,sim,0,80,2020-08
08/11/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-08-10,2020-10-13,13/10/2020,sim,0,64,2020-08
13/08/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-08-24,2020-08-25,25/08/2020,sim,0,1,2020-08
,ETICKET,Aspirador,Midea,Concluído,2020-03-09,2020-08-31,09/04/2020,sim,0,175,2020-03
,ETICKET,Aspirador,Midea,Concluído,2020-03-09,2020-08-31,09/04/2020,sim,0,175,2020-03
,ETICKET,Aspirador,Midea,Concluído,2020-03-09,2020-08-31,09/04/2020,sim,0,175,2020-03
,ETICKET,Aspirador,Midea,Concluído,2020-03-09,2020-08-31,17/09/2020,sim,0,175,2020-03
,ETICKET,Aspirador,Midea,Concluído,2020-03-09,2020-08-31,17/09/2020,sim,0,175,2020-03
13/08/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-08-26,2020-09-09,09/09/2020,sim,0,14,2020-08
13/08/2020,ETICKET,Aspirador,Midea,Concluído,2020-03-09,2020-08-24,09/04/2020,sim,0,168,2020-03
13/08/2020,ETICKET,Lavadora,Panasonic,Concluído,2020-01-09,2020-12-09,18/09/2020,sim,0,335,2020-01
14/08/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-08-21,2020-08-25,25/08/2020,sim,0,4,2020-08
15/08/2020,ETICKET,Micro Ondas,Midea,Concluído,2020-01-09,2020-08-25,09/03/2020,sim,0,229,2020-01
15/08/2020,ETICKET,Micro Ondas,Midea,Concluído,2020-03-09,2020-08-25,09/03/2020,sim,0,169,2020-03
15/08/2020,ETICKET,Panela,Midea,Concluído,2020-09-10,2020-10-13,16/10/2020,sim,0,33,2020-09
15/08/2020,ETICKET,Robo,Wap,Concluído,2020-04-09,2020-12-09,14/09/2020,sim,0,244,2020-04
15/08/2020,ETICKET,Robo,Wap,Concluído,2020-12-09,2020-12-09,17/09/2020,sim,0,0,2020-12
17/08/2020,ETICKET,Robo,Wap,Concluído,2020-12-09,2020-12-09,17/09/2020,sim,0,0,2020-12
17/08/2020,ETICKET,Robo,Wap,Concluído,2020-12-09,2020-12-09,17/09/2020,sim,0,0,2020-12
17/08/2020,ETICKET,Robo,Wap,Concluído,2020-12-09,2020-12-09,17/09/2020,sim,0,0,2020-12
17/08/2020,ETICKET,Robo,Wap,Concluído,2020-12-09,2020-12-09,17/09/2020,sim,0,0,2020-12
17/08/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-01-09,2020-09-14,14/09/2020,sim,0,249,2020-01
17/08/2020,ETICKET,Robo,Midea,Concluído,2020-09-23,2020-09-23,29/09/2020,sim,0,0,2020-09
18/08/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-01-09,2020-09-25,26/09/2020,sim,0,260,2020-01
18/08/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-08-26,2020-08-27,27/08/2020,sim,0,1,2020-08
19/08/2020,ETICKET,Robo,Wap,Concluído,2020-11-09,2020-11-09,17/09/2020,sim,0,0,2020-11
19/08/2020,ON SITE,Ar Condicionado,Carrier,Concluído,2020-03-09,2020-09-22,22/09/2020,sim,0,197,2020-03
19/08/2020,ON SITE,Ar Condicionado,Carrier,Concluído,2020-03-09,2020-09-22,22/09/2020,sim,0,197,2020-03
20/08/2020,BALCÃO,Robô,Wap,Concluído,2020-08-27,2020-08-27,28/08/2020,sim,0,0,2020-08
22/08/2020,ETICKET,Micro Ondas,Midea,Concluído,2020-03-09,2020-08-26,09/03/2020,sim,0,170,2020-03
22/08/2020,ETICKET,Robo,Wap,Concluído,2020-09-23,2020-09-23,10/05/2020,sim,0,0,2020-09
22/08/2020,ETICKET,Micro Ondas,Midea,Concluído,2020-03-09,2020-08-26,09/03/2020,sim,0,170,2020-03
24/08/2020,ETICKET,Robo,Wap,Concluído,2020-09-28,2020-09-28,10/07/2020,sim,0,0,2020-09
24/08/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-01-10,2020-08-28,28/08/2020,sim,0,231,2020-01
26/08/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-01-10,2020-02-09,09/02/2020,sim,0,30,2020-01
26/08/2020,ON SITE,Ar Condicionado,Daikin,Concluído,2020-09-21,2020-09-24,24/09/2020,sim,0,3,2020-09
27/08/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-09-09,2020-09-17,17/09/2020,sim,0,8,2020-09
27/08/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-03-09,2020-09-18,18/09/2020,sim,0,193,2020-03
27/08/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-09-09,2020-09-17,17/09/2020,sim,0,8,2020-09
27/08/2020,ETICKET,Robo,Wap,Concluído,2020-09-23,2020-09-23,22/10/2020,sim,0,0,2020-09
28/08/2020,ETICKET,Micro Ondas,Midea,Concluído,2020-10-20,2020-10-22,28/10/2020,sim,0,2,2020-10
28/08/2020,ETICKET,Micro Ondas,Midea,Concluído,2020-09-17,2020-10-09,23/09/2020,sim,0,22,2020-09
31/08/2020,ETICKET,Aspirador,Midea,Concluído,2020-09-18,2020-10-09,22/09/2020,sim,0,21,2020-09
31/08/2020,ETICKET,Aspirador,Midea,Concluído,2020-09-18,2020-11-09,23/09/2020,sim,0,52,2020-09
31/08/2020,ETICKET,Aspirador,Midea,Concluído,2020-09-18,2020-11-09,23/09/2020,sim,0,52,2020-09
31/08/2020,ETICKET,Aspirador,Midea,Concluído,2020-09-18,2020-10-09,22/09/2020,sim,0,21,2020-09
31/08/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-01-10,2020-12-09,09/12/2020,sim,0,334,2020-01
09/01/2020,ETICKET,Robo,Wap,Concluído,2021-01-03,2021-02-03,03/03/2021,sim,0,31,2021-01
